timestamp,connection,state,rtt,cwnd,ssthresh,rwnd,pacing_rate,delivery_rate,socket_tx_queue,socket_tx_buffer,socket_rx_queue,socket_rx_buffer,packets_out,retrans,retrans_rate
1763522453.149,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,4096.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522455.238,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,77463552.0,17179869184.0,0.0,0,0.0
1763522457.336,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,4010803200.0,17179869184.0,0.0,0,0.0
1763522459.53,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,14641004544.0,17179869184.0,0.0,0,0.0
1763522461.614,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522463.702,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,53608448.0,17179869184.0,0.0,0,0.0
1763522465.804,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522467.89,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522469.998,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522472.084,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,4096.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522474.171,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,4096.0,89128960.0,178520064.0,17179869184.0,0.0,0,0.0
1763522476.261,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522478.353,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,803340288.0,17179869184.0,0.0,0,0.0
1763522480.607,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,13910474752.0,17179869184.0,0.0,0,0.0
1763522482.721,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,178520064.0,17179869184.0,0.0,0,0.0
1763522484.895,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522487.045,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522489.134,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522491.227,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,178520064.0,17179869184.0,0.0,0,0.0
1763522493.361,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,13935968256.0,17179869184.0,0.0,0,0.0
1763522495.447,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,4096.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522497.537,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,12898009088.0,17179869184.0,0.0,0,0.0
1763522499.68,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,6144.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522501.762,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,4096.0,89128960.0,1249640448.0,17179869184.0,0.0,0,0.0
1763522503.886,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522505.966,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522508.121,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522510.224,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,1283325952.0,17179869184.0,0.0,0,0.0
1763522512.361,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,2707816448.0,17179869184.0,0.0,0,0.0
1763522514.45,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,6694502400.0,17179869184.0,0.0,0,0.0
1763522516.618,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,2856321024.0,17179869184.0,0.0,0,0.0
1763522518.807,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,446300160.0,17179869184.0,0.0,0,0.0
1763522520.967,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,9729605632.0,17179869184.0,0.0,0,0.0
1763522523.073,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,77463552.0,17179869184.0,0.0,0,0.0
