timestamp,connection,state,rtt,rttvar,minrtt,rto,cwnd,ssthresh,rwnd,rcv_ssthresh,snd_wnd,mss,pmtu,advmss,rcvmss,send_rate,pacing_rate,delivery_rate,send_q,recv_q,socket_tx_queue,socket_tx_buffer,socket_rx_queue,socket_rx_buffer,socket_forward_alloc,socket_write_queue,socket_opt_mem,socket_backlog,socket_dropped,packets_out,inflight_data,retrans,retrans_rate,retrans_total,lost,sacked,dsack_dups,spurious_retrans_rate,segs_out,segs_in,data_segs_out,data_segs_in,bytes_sent,bytes_acked,bytes_received,lastsnd,lastrcv,lastack,app_limited,rcv_rtt,ato,congestion_algorithm,ca_state,reordering,rcv_ooopack,busy_time,rwnd_limited_time,rwnd_limited_ratio,sndbuf_limited_time,sndbuf_limited_ratio,cwnd_limited_time,cwnd_limited_ratio,tcp_features,bdp,recommended_window
1762859082.644,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.226,0.018,0.02,0.0,5676.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,290930000000.0,0.0,11670000000.0,13618440.0,0.0,0.0,17179869184.0,0.0,89477120.0,2351104.0,14220533760.0,0.0,0.0,0.0,5676.0,8416100352.0,0,3e-05,9836,0.0,0.0,8633.0,0.8776900000000001,299650422.0,4995994.0,299650420.0,0.0,0.0,0.0,0.0,30.0,899691.0,39.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",723200000.0,2892800000.0
1762859084.685,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.231,0.013,0.02,0.0,5676.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,284640000000.0,0.0,10020000000.0,15768720.0,0.0,0.0,17179869184.0,0.0,89477120.0,1163264.0,16465674240.0,0.0,0.0,0.0,5676.0,8416100352.0,0,3e-05,9857,0.0,0.0,8654.0,0.87795,300248293.0,5005501.0,300248291.0,0.0,0.0,0.0,0.0,24.0,901786.0,31.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",739200000.0,2956800000.0
1762859086.759,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.248,0.018,0.02,0.0,5677.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,265170000000.00003,0.0,11410000000.0,1349536.0,0.0,272139264.0,17179869184.0,0.0,89477120.0,1857912832.0,1409449984.0,0.0,0.0,0.0,257.0,381067264.0,0,3e-05,9877,0.0,0.0,8674.0,0.8782,300854796.0,5015222.0,300854794.0,0.0,0.0,0.0,0.0,0.0,903857.0,0.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",793600000.0,3174400000.0
1762859088.851,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.278,0.032,0.02,0.0,4142.0,3975.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,172590000000.0,0.0,11030000000.0,14297552.0,0.0,272138240.0,17179869184.0,0.0,89477120.0,1248378880.0,14929051648.0,0.0,0.0,0.0,244.0,361791488.0,0,3e-05,9910,0.0,0.0,8693.0,0.8771899999999999,301443967.0,5024665.0,301443965.0,0.0,0.0,0.0,0.0,0.0,905952.0,0.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",889600000.0,3558400000.0
1762859090.966,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.306,0.054,0.02,0.0,5677.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,214910000000.0,0.0,9620000000.0,9259960.0,0.0,272139264.0,17179869184.0,0.0,89477120.0,1105534976.0,9669632000.0,0.0,0.0,0.0,365.0,541204480.0,0,3e-05,9931,0.0,0.0,8714.0,0.8774500000000001,302059663.0,5034281.0,302059661.0,0.0,0.0,0.0,0.0,0.0,908058.0,0.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",979200000.0,3916800000.0
1762859093.052,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.273,0.079,0.02,0.0,4126.0,3975.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,175080000000.0,0.0,9070000000.0,10146136.0,0.0,272138240.0,17179869184.0,0.0,89477120.0,1246404608.0,10594115584.0,0.0,0.0,0.0,167.0,247619584.0,0,3e-05,9966,0.0,0.0,8733.0,0.87628,302641432.0,5043114.0,302641430.0,0.0,0.0,0.0,0.0,0.0,910150.0,0.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",873600000.0,3494400000.0
1762859095.141,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.246,0.016,0.02,0.0,5677.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,267329999999.99997,0.0,10870000000.0,11126432.0,0.0,0.0,17179869184.0,0.0,89477120.0,3506176.0,11618910208.0,0.0,0.0,0.0,5677.0,8417583104.0,0,3e-05,9986,0.0,0.0,8753.0,0.87653,303270996.0,5052733.0,303270994.0,0.0,0.0,0.0,0.0,31.0,912193.0,40.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",787200000.0,3148800000.0
1762859097.249,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.251,0.015,0.02,0.0,5677.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,262000000000.0,0.0,11710000000.0,16485480.0,0.0,0.0,17179869184.0,0.0,89477120.0,3563520.0,17214054400.0,0.0,0.0,0.0,5677.0,8417583104.0,0,3e-05,10006,0.0,0.0,8773.0,0.87677,303937062.0,5062714.0,303937060.0,0.0,0.0,0.0,0.0,17.0,914286.0,26.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",803198976.0,3212795904.0
1762859099.351,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.259,0.039,0.02,0.0,5677.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,253910000000.0,0.0,12710000000.0,10975840.0,0.0,272138240.0,17179869184.0,0.0,89477120.0,1491238912.0,11460771840.0,0.0,0.0,0.0,245.0,363274240.0,0,3e-05,10027,0.0,0.0,8794.0,0.87703,304573205.0,5072636.0,304573203.0,0.0,0.0,0.0,0.0,1.0,916452.0,1.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",828800000.0,3315200000.0
1762859101.392,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.257,0.017,0.02,0.0,5677.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,255880000000.0,0.0,10720000000.0,13130464.0,0.0,0.0,17179869184.0,0.0,89477120.0,3702784.0,13711671296.0,0.0,0.0,0.0,5677.0,8417583104.0,0,3e-05,10047,0.0,0.0,8814.0,0.87728,305183880.0,5082693.0,305183878.0,0.0,0.0,0.0,0.0,27.0,918493.0,37.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",822400000.0,3289600000.0
1762859103.457,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.234,0.028,0.02,0.0,5677.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,281040000000.0,0.0,10150000000.0,6679624.0,0.0,0.0,17179869184.0,0.0,89477120.0,1644355584.0,6974939136.0,0.0,0.0,0.0,4613.0,6839934976.0,0,3e-05,10068,0.0,0.0,8835.0,0.87753,305829360.0,5092702.0,305829358.0,0.0,0.0,0.0,0.0,1.0,920556.0,3.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",748800000.0,2995200000.0
1762859105.55,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.242,0.065,0.02,0.0,5678.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,271790000000.00003,0.0,9480000000.0,13854048.0,0.0,204104704.0,17179869184.0,0.0,89477120.0,32030720.0,14446706688.0,0.0,0.0,0.0,247.0,366239744.0,0,3e-05,10088,0.0,0.0,8855.0,0.87778,306444914.0,5102349.0,306444912.0,0.0,0.0,0.0,0.0,0.0,922650.0,0.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",774400000.0,3097600000.0
1762859107.65,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.232,0.034,0.02,0.0,5678.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,283510000000.0,0.0,10640000000.0,16278416.0,0.0,272138240.0,17179869184.0,0.0,89477120.0,250200064.0,16996777984.0,0.0,0.0,0.0,172.0,255033344.0,0,3e-05,10108,0.0,0.0,8875.0,0.87802,307044177.0,5111673.0,307044175.0,0.0,0.0,0.0,0.0,0.0,924749.0,0.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",742400000.0,2969600000.0
1762859109.69,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.256,0.026,0.02,0.0,5678.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,256930000000.0,0.0,11540000000.0,13166664.0,0.0,0.0,17179869184.0,0.0,89477120.0,3072000.0,13750050816.0,0.0,0.0,0.0,5678.0,8419065856.0,0,3e-05,10128,0.0,0.0,8895.0,0.8782599999999999,307671390.0,5121507.0,307671388.0,0.0,0.0,0.0,0.0,24.0,926791.0,34.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",819200000.0,3276800000.0
1762859111.747,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.217,0.035,0.02,0.0,5678.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,303110000000.0,0.0,10060000000.0,15154768.0,0.0,272138240.0,17179869184.0,0.0,89477120.0,1385349120.0,15823880192.0,0.0,0.0,0.0,341.0,505618432.0,0,3e-05,10149,0.0,0.0,8916.0,0.87851,308311871.0,5131592.0,308311869.0,0.0,0.0,0.0,0.0,0.0,928848.0,1.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",694400000.0,2777600000.0
1762859113.848,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.27,0.034,0.02,0.0,5678.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,243610000000.0,0.0,10330000000.0,15179384.0,0.0,0.0,17179869184.0,0.0,89477120.0,4071424.0,15850397696.0,0.0,0.0,0.0,5678.0,8419065856.0,0,3e-05,10169,0.0,0.0,8936.0,0.87875,308910310.0,5140951.0,308910308.0,0.0,0.0,0.0,0.0,21.0,930890.0,32.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",864000000.0,3456000000.0
1762859115.952,100.100.103.205:48270->100.100.103.201:5001,ESTAB,0.265,0.021,0.02,0.0,5679.0,4257.0,14827520.0,0.0,0.0,1448.0,1500.0,1448.0,536.0,248250000000.0,0.0,8330000000.0,11175952.0,0.0,272138240.0,17179869184.0,0.0,89477120.0,1269809152.0,11636064256.0,0.0,0.0,0.0,218.0,323239936.0,0,3e-05,10190,0.0,0.0,8957.0,0.879,309541876.0,5151013.0,309541874.0,0.0,0.0,0.0,0.0,0.0,933052.0,0.0,,0.0,0.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",848000000.0,3392000000.0
