timestamp,connection,state,rtt,rttvar,minrtt,rto,cwnd,ssthresh,rwnd,rcv_ssthresh,snd_wnd,mss,pmtu,advmss,rcvmss,send_rate,pacing_rate,delivery_rate,send_q,recv_q,socket_tx_queue,socket_tx_buffer,socket_rx_queue,socket_rx_buffer,socket_forward_alloc,socket_write_queue,socket_opt_mem,socket_backlog,socket_dropped,packets_out,inflight_data,retrans,retrans_rate,retrans_total,lost,sacked,dsack_dups,spurious_retrans_rate,segs_out,segs_in,data_segs_out,data_segs_in,bytes_sent,bytes_acked,bytes_received,lastsnd,lastrcv,lastack,app_limited,rcv_rtt,ato,congestion_algorithm,ca_state,reordering,rcv_ooopack,busy_time,rwnd_limited_time,rwnd_limited_ratio,sndbuf_limited_time,sndbuf_limited_ratio,cwnd_limited_time,cwnd_limited_ratio,tcp_features,bdp,recommended_window
1762859498.747,100.100.103.201:5001->100.100.103.205:48274,ESTAB,0.034,0.017,0.034,0.0,10.0,33.0,16608624640.0,0.0,0.0,1448.0,1500.0,1448.0,1448.0,3410000000.0,6810000000.0,0.0,0.0,102808.0,4096.0,89128960.0,141164544.0,17179869184.0,1289093120.0,0.0,0.0,0.0,13103.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7183132.0,425870977.0,0.0,0.0,0.0,0.0,0.0,1315847.0,1.0,15.0,,0.957,40.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",108800000.0,435200000.0
1762859501.046,100.100.103.201:5001->100.100.103.205:48274,ESTAB,0.034,0.017,0.034,0.0,10.0,33.0,16608624640.0,0.0,0.0,1448.0,1500.0,1448.0,1448.0,3410000000.0,6810000000.0,0.0,0.0,0.0,0.0,89128960.0,0.0,17179869184.0,1438646272.0,0.0,0.0,61472768.0,13126.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7194650.0,426533929.0,0.0,0.0,0.0,0.0,0.0,1318146.0,1.0,13.0,,0.993,40.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",108800000.0,435200000.0
1762859503.253,100.100.103.201:5001->100.100.103.205:48274,ESTAB,0.034,0.017,0.034,0.0,10.0,33.0,16608624640.0,0.0,0.0,1448.0,1500.0,1448.0,1448.0,3410000000.0,6810000000.0,0.0,0.0,1629000.0,0.0,89128960.0,2233073664.0,17179869184.0,2490368.0,0.0,0.0,0.0,13147.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7205692.0,427195793.0,0.0,0.0,0.0,0.0,0.0,1320352.0,0.0,0.0,,0.999,40.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",108800000.0,435200000.0
1762859505.541,100.100.103.201:5001->100.100.103.205:48274,ESTAB,0.034,0.017,0.034,0.0,10.0,33.0,16608624640.0,0.0,0.0,1448.0,1500.0,1448.0,1448.0,3410000000.0,6810000000.0,0.0,0.0,54408.0,0.0,89128960.0,89260032.0,17179869184.0,1340997632.0,0.0,0.0,0.0,13170.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7216282.0,427850784.0,0.0,0.0,0.0,0.0,0.0,1322640.0,0.0,9.0,,1.0,40.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",108800000.0,435200000.0
1762859507.746,100.100.103.201:5001->100.100.103.205:48274,ESTAB,0.034,0.017,0.034,0.0,10.0,33.0,16608624640.0,0.0,0.0,1448.0,1500.0,1448.0,1448.0,3410000000.0,6810000000.0,0.0,0.0,10136.0,0.0,89128960.0,103284736.0,17179869184.0,1331167232.0,0.0,0.0,6160384.0,13192.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7226917.0,428512749.0,0.0,0.0,0.0,0.0,0.0,1324845.0,0.0,10.0,,0.919,40.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",108800000.0,435200000.0
1762859509.949,100.100.103.201:5001->100.100.103.205:48274,ESTAB,0.034,0.017,0.034,0.0,10.0,33.0,16608624640.0,0.0,0.0,1448.0,1500.0,1448.0,1448.0,3410000000.0,6810000000.0,0.0,0.0,0.0,0.0,89128960.0,0.0,17179869184.0,1413480448.0,0.0,0.0,0.0,13213.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7237567.0,429183087.0,0.0,0.0,0.0,0.0,0.0,1327049.0,1.0,16.0,,1.0,40.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",108800000.0,435200000.0
1762859512.153,100.100.103.201:5001->100.100.103.205:48274,ESTAB,0.034,0.017,0.034,0.0,10.0,33.0,16608624640.0,0.0,0.0,1448.0,1500.0,1448.0,1448.0,3410000000.0,6810000000.0,0.0,0.0,3116096.0,0.0,89128960.0,4271112192.0,17179869184.0,28049408.0,0.0,0.0,0.0,13234.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7247971.0,429834805.0,0.0,0.0,0.0,0.0,0.0,1329252.0,0.0,0.0,,0.943,40.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",108800000.0,435200000.0
1762859514.441,100.100.103.201:5001->100.100.103.205:48274,ESTAB,0.034,0.017,0.034,0.0,10.0,33.0,16608624640.0,0.0,0.0,1448.0,1500.0,1448.0,1448.0,3410000000.0,6810000000.0,0.0,0.0,54096.0,2048.0,89128960.0,160825344.0,17179869184.0,1298923520.0,0.0,0.0,37879808.0,13256.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7258602.0,430485158.0,0.0,0.0,0.0,0.0,0.0,1331541.0,0.0,8.0,,0.942,40.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",108800000.0,435200000.0
1762859516.646,100.100.103.201:5001->100.100.103.205:48274,ESTAB,0.034,0.017,0.034,0.0,10.0,33.0,16608624640.0,0.0,0.0,1448.0,1500.0,1448.0,1448.0,3410000000.0,6810000000.0,0.0,0.0,0.0,0.0,89128960.0,0.0,17179869184.0,1417674752.0,0.0,0.0,0.0,13278.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7269246.0,431102040.0,0.0,0.0,0.0,0.0,0.0,1333745.0,0.0,11.0,,0.843,40.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",108800000.0,435200000.0
1762859518.847,100.100.103.201:5001->100.100.103.205:48274,ESTAB,0.034,0.017,0.034,0.0,10.0,33.0,16608624640.0,0.0,0.0,1448.0,1500.0,1448.0,1448.0,3410000000.0,6810000000.0,0.0,0.0,0.0,0.0,89128960.0,0.0,17179869184.0,1413480448.0,0.0,0.0,0.0,13300.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7280291.0,431752972.0,0.0,0.0,0.0,0.0,0.0,1335946.0,0.0,14.0,,0.869,40.0,cubic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"timestamps, SACK",108800000.0,435200000.0
