timestamp,cwnd_client,cwnd_server,ssthresh_client,ssthresh_server,rwnd_client,rwnd_server,rtt_client,rtt_server,pacing_rate_client,pacing_rate_server,delivery_rate_client,delivery_rate_server,socket_tx_queue_client,socket_tx_queue_server,socket_rx_queue_client,socket_rx_queue_server,retrans_client,retrans_server,packets_out_client,packets_out_server
2025-11-19 03:20:53.187000036,3620.0,10.0,2504.0,0.0,14827520.0,12482248704.0,1.365,0.056,33700000000.000004,4139999999.999999,12980000000.0,0.0,0.0,4096.0,0.0,89260032.0,0,0,3330.0,0.0
2025-11-19 03:20:55.302999973,3968.0,10.0,2504.0,0.0,14827520.0,12482248704.0,3.035,0.056,18170000000.0,4139999999.999999,12670000000.0,0.0,68034560.0,0.0,0.0,77463552.0,0,0,3960.0,0.0
2025-11-19 03:20:57.392999887,3040.0,10.0,2886.0,0.0,14827520.0,12482248704.0,2.99,0.056,14130000000.0,4139999999.999999,11530000000.0,0.0,136069120.0,0.0,0.0,4010803200.0,0,0,3015.0,0.0
2025-11-19 03:20:59.483000040,4123.0,10.0,3091.0,0.0,14827520.0,12482248704.0,1.143,0.056,0.0,4139999999.999999,12700000000.0,0.0,0.0,0.0,0.0,14641004544.0,0,0,1530.0,0.0
2025-11-19 03:21:01.582999945,3313.0,10.0,2886.0,0.0,14827520.0,12482248704.0,0.567,0.056,0.0,4139999999.999999,18130000000.0,0.0,272138240.0,0.0,0.0,0.0,0,0,585.0,0.0
2025-11-19 03:21:03.688999891,2681.0,10.0,2393.0,0.0,14827520.0,12482248704.0,1.863,0.056,18990000000.0,4139999999.999999,11390000000.0,0.0,68034560.0,2048.0,0.0,53608448.0,0,0,2655.0,0.0
2025-11-19 03:21:05.779000044,3100.0,10.0,2393.0,0.0,14827520.0,12482248704.0,1.631,0.056,26410000000.0,4139999999.999999,10250000000.0,0.0,0.0,2048.0,0.0,89260032.0,0,0,3060.0,0.0
2025-11-19 03:21:07.878000021,3463.0,10.0,2393.0,0.0,14827520.0,12482248704.0,1.539,0.056,31260000000.0,4139999999.999999,14980000000.0,0.0,0.0,0.0,0.0,89260032.0,0,0,3420.0,0.0
2025-11-19 03:21:09.964999914,3783.0,10.0,2393.0,0.0,14827520.0,12482248704.0,3.058,0.056,17200000000.0,4139999999.999999,14350000000.0,0.0,199655424.0,0.0,0.0,89260032.0,0,0,3780.0,0.0
2025-11-19 03:21:12.055999994,3004.0,10.0,2782.0,0.0,14827520.0,12482248704.0,2.658,0.056,15120000000.0,4139999999.999999,11330000000.0,0.0,0.0,4096.0,0.0,89260032.0,0,0,2970.0,0.0
2025-11-19 03:21:14.161000013,3385.0,10.0,2782.0,0.0,14827520.0,12482248704.0,2.05,0.056,22950000000.0,4139999999.999999,15300000000.0,0.0,0.0,4096.0,0.0,178520064.0,0,0,3375.0,0.0
2025-11-19 03:21:16.247999907,3682.0,10.0,2782.0,0.0,14827520.0,12482248704.0,2.19,0.056,26420000000.0,4139999999.999999,17780000000.0,0.0,0.0,2048.0,0.0,89260032.0,0,0,2903.0,0.0
2025-11-19 03:21:18.359999895,2780.0,10.0,2728.0,0.0,14827520.0,12482248704.0,1.615,0.056,20550000000.0,4139999999.999999,17550000000.0,0.0,0.0,0.0,0.0,803340288.0,0,0,2745.0,0.0
2025-11-19 03:21:20.525000095,3065.0,10.0,2728.0,0.0,14827520.0,12482248704.0,2.453,0.056,13730000000.0,4139999999.999999,11920000000.0,0.0,272138240.0,0.0,0.0,13910474752.0,0,0,675.0,0.0
2025-11-19 03:21:22.628999949,2414.0,10.0,2239.0,0.0,14827520.0,12482248704.0,2.236,0.056,15010000000.0,4139999999.999999,11720000000.0,0.0,204103680.0,0.0,0.0,178520064.0,0,0,2385.0,0.0
2025-11-19 03:21:24.788000107,2700.0,10.0,2239.0,0.0,14827520.0,12482248704.0,0.826,0.056,22260000000.0,4139999999.999999,11580000000.0,0.0,272138240.0,0.0,0.0,0.0,0,0,1890.0,0.0
2025-11-19 03:21:26.903000116,3029.0,10.0,2239.0,0.0,14827520.0,12482248704.0,0.804,0.056,12320000000.0,4139999999.999999,12220000000.0,0.0,204103680.0,0.0,0.0,0.0,0,0,3029.0,0.0
2025-11-19 03:21:29.013999939,3360.0,10.0,2239.0,0.0,14827520.0,12482248704.0,7.557,0.056,0.0,4139999999.999999,1690000000.0,0.0,0.0,2048.0,0.0,89260032.0,0,0,405.0,0.0
